"player","season","team","position","salary","games","games_started","minutes","field_goals","field_goals_atts","field_goals_perc","points3","points3_atts","points3_perc","points2","points2_atts","points2_perc","effective_field_goal_perc","points1","points1_atts","points1_perc","off_rebounds","def_rebounds","total_rebounds","assists","steals","blocks","turnovers","fouls","points"
"Darrell Arthur",2017,"DEN","PF",8070175,41,7,639,95,215,0.442,53,117,0.453,42,98,0.429,0.565,19,22,0.864,25,87,112,42,19,21,36,76,262
"Emmanuel Mudiay",2017,"DEN","PG",3241800,55,41,1406,208,551,0.377,56,177,0.316,152,374,0.406,0.428,131,167,0.784,30,150,180,217,41,13,123,95,603
"Gary Harris",2017,"DEN","SG",1655880,57,56,1782,320,636,0.503,107,255,0.42,213,381,0.559,0.587,104,134,0.776,48,130,178,164,71,8,76,92,851
"Jamal Murray",2017,"DEN","SG",3210840,82,10,1764,295,729,0.405,115,344,0.334,180,385,0.468,0.484,106,120,0.883,41,173,214,170,53,24,113,124,811
"Jameer Nelson",2017,"DEN","PG",4540525,75,39,2045,268,604,0.444,106,273,0.388,162,331,0.489,0.531,45,63,0.714,28,164,192,385,53,8,129,197,687
"Juan Hernangomez",2017,"DEN","PF",1987440,62,9,842,101,223,0.453,46,112,0.411,55,111,0.495,0.556,57,76,0.75,43,144,187,29,29,12,31,62,305
"Kenneth Faried",2017,"DEN","PF",12078652,61,34,1296,228,415,0.549,0,6,0,228,409,0.557,0.549,131,189,0.693,180,279,459,55,43,40,58,124,587
"Malik Beasley",2017,"DEN","SG",1627320,22,1,165,33,73,0.452,9,28,0.321,24,45,0.533,0.514,8,10,0.8,5,12,17,11,7,0,8,10,83
"Mason Plumlee",2017,"DEN","C",2328530,27,10,632,99,181,0.547,0,1,0,99,180,0.55,0.547,47,76,0.618,50,123,173,70,19,29,46,77,245
"Mike Miller",2017,"DEN","SF",3500000,20,0,151,9,23,0.391,8,20,0.4,1,3,0.333,0.565,2,2,1,3,36,39,22,2,0,13,9,28
"Nikola Jokic",2017,"DEN","C",1358500,73,59,2038,494,856,0.577,45,139,0.324,449,717,0.626,0.603,188,228,0.825,212,503,715,358,60,55,171,214,1221
"Will Barton",2017,"DEN","SG",3533333,60,19,1705,295,667,0.442,87,235,0.37,208,432,0.481,0.507,143,190,0.753,58,201,259,206,48,28,97,110,820
"Wilson Chandler",2017,"DEN","SF",11200000,71,33,2197,433,940,0.461,110,326,0.337,323,614,0.526,0.519,141,194,0.727,104,356,460,143,52,30,114,172,1117
"Alexis Ajinca",2017,"NOP","C",4600000,39,15,584,89,178,0.5,0,4,0,89,174,0.511,0.5,29,40,0.725,46,131,177,12,20,22,31,77,207
"Anthony Davis",2017,"NOP","C",22116750,75,75,2708,770,1527,0.504,40,134,0.299,730,1393,0.524,0.517,519,647,0.802,174,712,886,157,94,167,181,168,2099
"Dante Cunningham",2017,"NOP","SF",2978250,66,35,1649,174,359,0.485,71,181,0.392,103,178,0.579,0.584,16,27,0.593,56,221,277,36,39,28,28,100,435
"DeMarcus Cousins",2017,"NOP","C",16957900,17,17,574,142,314,0.452,36,96,0.375,106,218,0.486,0.51,94,121,0.777,38,174,212,66,25,19,62,75,414
"Donatas Motiejunas",2017,"NOP","PF",576724,34,0,479,57,138,0.413,11,47,0.234,46,91,0.505,0.453,25,49,0.51,26,75,101,34,18,11,31,55,150
"E'Twaun Moore",2017,"NOP","SG",8081363,73,22,1820,283,619,0.457,77,208,0.37,206,411,0.501,0.519,57,74,0.77,33,119,152,164,50,32,62,131,700
"Jordan Crawford",2017,"NOP","SG",173094,19,0,442,105,218,0.482,37,95,0.389,68,123,0.553,0.567,20,26,0.769,4,30,34,57,11,2,25,30,267
"Jrue Holiday",2017,"NOP","PG",11286518,67,61,2190,405,894,0.453,100,281,0.356,305,613,0.498,0.509,119,168,0.708,46,218,264,488,100,43,194,133,1029
"Quinn Cook",2017,"NOP","PG",63938,9,0,111,22,41,0.537,6,12,0.5,16,29,0.552,0.61,2,3,0.667,1,3,4,14,3,0,5,7,52
"Solomon Hill",2017,"NOP","SF",11241218,80,71,2374,183,477,0.384,94,270,0.348,89,207,0.43,0.482,103,128,0.805,51,256,307,141,71,32,82,182,563
"Tim Frazier",2017,"NOP","PG",2090000,65,35,1525,163,404,0.403,40,128,0.313,123,276,0.446,0.453,98,129,0.76,34,139,173,335,56,6,101,133,464
"A.J. Hammons",2017,"DAL","C",650000,22,0,163,17,42,0.405,5,10,0.5,12,32,0.375,0.464,9,20,0.45,8,28,36,4,1,13,10,21,48
"DeAndre Liggins",2017,"DAL","SG",1015696,1,0,25,3,6,0.5,0,1,0,3,5,0.6,0.5,2,3,0.667,3,4,7,0,2,0,0,3,8
"Devin Harris",2017,"DAL","PG",4228000,65,0,1087,136,341,0.399,58,177,0.328,78,164,0.476,0.484,107,129,0.829,11,116,127,136,43,7,57,101,437
"Dirk Nowitzki",2017,"DAL","PF",2.5e+07,54,54,1424,296,678,0.437,79,209,0.378,217,469,0.463,0.495,98,112,0.875,23,330,353,82,30,38,51,113,769
"Dorian Finney-Smith",2017,"DAL","PF",543471,81,35,1642,124,333,0.372,56,191,0.293,68,142,0.479,0.456,46,61,0.754,55,166,221,67,52,25,45,125,350
"Dwight Powell",2017,"DAL","C",8375000,77,3,1333,194,377,0.515,21,74,0.284,173,303,0.571,0.542,107,141,0.759,94,213,307,49,61,39,34,135,516
"Harrison Barnes",2017,"DAL","PF",22116750,79,79,2803,599,1280,0.468,78,222,0.351,521,1058,0.492,0.498,242,281,0.861,94,303,397,117,66,15,102,128,1518
"J.J. Barea",2017,"DAL","PG",4096950,35,6,771,142,343,0.414,53,148,0.358,89,195,0.456,0.491,44,51,0.863,9,75,84,193,14,1,63,30,381
"Jarrod Uthoff",2017,"DAL","PF",63938,9,0,115,16,38,0.421,3,9,0.333,13,29,0.448,0.461,5,7,0.714,8,14,22,9,2,4,3,8,40
"Nicolas Brussino",2017,"DAL","SF",543471,54,2,521,52,141,0.369,29,95,0.305,23,46,0.5,0.472,17,22,0.773,26,69,95,47,17,8,26,43,150
"Salah Mejri",2017,"DAL","C",874636,73,11,905,88,137,0.642,1,3,0.333,87,134,0.649,0.646,36,61,0.59,97,211,308,14,32,61,40,152,213
"Seth Curry",2017,"DAL","PG",2898000,70,42,2029,338,703,0.481,137,322,0.425,201,381,0.528,0.578,85,100,0.85,25,153,178,188,79,7,92,126,898
"Wesley Matthews",2017,"DAL","SG",17100000,73,73,2495,333,847,0.393,174,479,0.363,159,368,0.432,0.496,146,179,0.816,18,241,259,210,77,16,102,161,986
"Yogi Ferrell",2017,"DAL","PG",207798,36,29,1046,142,345,0.412,60,149,0.403,82,196,0.418,0.499,64,73,0.877,16,83,99,155,40,7,56,79,408
"Anthony Tolliver",2017,"SAC","PF",8e+06,65,9,1477,155,351,0.442,90,230,0.391,65,121,0.537,0.57,61,82,0.744,51,188,239,77,33,20,56,109,461
"Arron Afflalo",2017,"SAC","SG",12500000,61,45,1580,185,420,0.44,62,151,0.411,123,269,0.457,0.514,83,93,0.892,9,116,125,78,21,7,42,104,515
"Ben McLemore",2017,"SAC","SG",4008882,61,26,1176,180,419,0.43,65,170,0.382,115,249,0.462,0.507,70,93,0.753,19,111,130,51,29,6,62,108,495
"Buddy Hield",2017,"SAC","SG",3517200,25,18,727,142,296,0.48,59,138,0.428,83,158,0.525,0.579,35,43,0.814,16,87,103,44,20,2,53,34,378
"Darren Collison",2017,"SAC","PG",5229454,68,64,2063,340,714,0.476,73,175,0.417,267,539,0.495,0.527,147,171,0.86,23,130,153,312,67,9,114,119,900
"Garrett Temple",2017,"SAC","SG",8e+06,65,21,1728,183,432,0.424,82,220,0.373,101,212,0.476,0.519,58,74,0.784,32,151,183,169,84,28,78,141,506
"Georgios Papagiannis",2017,"SAC","C",2202240,22,0,355,56,102,0.549,0,2,0,56,100,0.56,0.549,12,14,0.857,24,62,86,20,3,17,24,44,124
"Kosta Koufos",2017,"SAC","C",8046500,71,62,1419,216,392,0.551,0,1,0,216,391,0.552,0.551,38,62,0.613,118,285,403,47,36,48,61,172,470
"Langston Galloway",2017,"SAC","PG",5200000,19,2,375,42,104,0.404,19,40,0.475,23,64,0.359,0.495,11,12,0.917,7,28,35,28,6,1,18,20,114
"Malachi Richardson",2017,"SAC","SG",1439880,22,0,198,28,68,0.412,8,28,0.286,20,40,0.5,0.471,15,19,0.789,3,20,23,11,5,1,8,23,79
"Rudy Gay",2017,"SAC","SF",13333333,30,30,1013,201,442,0.455,42,113,0.372,159,329,0.483,0.502,118,138,0.855,35,155,190,82,44,26,74,79,562
"Skal Labissiere",2017,"SAC","PF",1188840,33,12,612,117,218,0.537,3,8,0.375,114,210,0.543,0.544,52,74,0.703,51,111,162,27,16,13,37,64,289
"Ty Lawson",2017,"SAC","PG",1315448,69,24,1732,237,522,0.454,34,118,0.288,203,404,0.502,0.487,173,217,0.797,44,135,179,335,74,6,129,119,681
"Tyreke Evans",2017,"SAC","SF",10661286,14,6,314,59,143,0.413,21,48,0.438,38,95,0.4,0.486,24,34,0.706,7,44,51,33,12,5,22,19,163
"Willie Cauley-Stein",2017,"SAC","C",3551160,75,21,1421,255,481,0.53,0,2,0,255,479,0.532,0.53,101,151,0.669,85,255,340,80,53,45,69,147,611
"Adreian Payne",2017,"MIN","PF",2022240,18,0,135,23,54,0.426,3,15,0.2,20,39,0.513,0.454,14,19,0.737,9,24,33,7,8,7,8,32,63
"Andrew Wiggins",2017,"MIN","SF",6006600,82,82,3048,709,1570,0.452,103,289,0.356,606,1281,0.473,0.484,412,542,0.76,103,226,329,189,82,30,187,183,1933
"Brandon Rush",2017,"MIN","SG",3500000,47,33,1030,70,187,0.374,44,114,0.386,26,73,0.356,0.492,13,18,0.722,16,83,99,45,22,23,28,42,197
"Gorgui Dieng",2017,"MIN","PF",2348783,82,82,2653,332,661,0.502,16,43,0.372,316,618,0.511,0.514,136,167,0.814,188,459,647,158,88,95,107,254,816
"Karl-Anthony Towns",2017,"MIN","C",5960160,82,82,3030,802,1479,0.542,101,275,0.367,701,1204,0.582,0.576,356,428,0.832,296,711,1007,220,57,103,212,241,2061
"Kris Dunn",2017,"MIN","PG",3872520,78,7,1333,118,313,0.377,21,73,0.288,97,240,0.404,0.411,36,59,0.61,24,142,166,188,78,36,89,178,293
"Nemanja Bjelica",2017,"MIN","PF",3800000,65,1,1190,151,356,0.424,56,177,0.316,95,179,0.531,0.503,45,61,0.738,57,187,244,79,40,20,59,154,403
"Omri Casspi",2017,"MIN","SF",138414,13,0,222,19,39,0.487,2,10,0.2,17,29,0.586,0.513,5,8,0.625,6,14,20,11,13,2,10,24,45
"Ricky Rubio",2017,"MIN","PG",13550000,75,75,2469,261,650,0.402,60,196,0.306,201,454,0.443,0.448,254,285,0.891,68,237,305,682,128,10,195,202,836
"Shabazz Muhammad",2017,"MIN","SF",3046299,78,1,1516,288,598,0.482,49,146,0.336,239,452,0.529,0.523,147,190,0.774,84,136,220,35,22,6,56,86,772
"Tyus Jones",2017,"MIN","PG",1339680,60,0,774,75,181,0.414,26,73,0.356,49,108,0.454,0.486,33,43,0.767,10,57,67,156,47,5,38,50,209
"Zach LaVine",2017,"MIN","SG",2240880,47,47,1749,326,710,0.459,120,310,0.387,206,400,0.515,0.544,117,140,0.836,18,141,159,139,41,10,85,104,889
"Brandon Ingram",2017,"LAL","SF",5281680,79,40,2279,276,686,0.402,55,187,0.294,221,499,0.443,0.442,133,214,0.621,60,257,317,166,50,36,116,158,740
"Corey Brewer",2017,"LAL","SF",7600000,24,3,358,53,121,0.438,5,24,0.208,48,97,0.495,0.459,18,24,0.75,11,41,52,36,24,8,19,29,129
"D'Angelo Russell",2017,"LAL","PG",5332800,63,60,1811,351,867,0.405,135,384,0.352,216,483,0.447,0.483,147,188,0.782,31,191,222,303,87,16,176,130,984
"David Nwaba",2017,"LAL","SG",73528,20,2,397,47,81,0.58,1,5,0.2,46,76,0.605,0.586,25,39,0.641,16,46,62,14,13,7,11,36,120
"Ivica Zubac",2017,"LAL","C",1034956,38,11,609,126,238,0.529,0,3,0,126,235,0.536,0.529,32,49,0.653,41,118,159,30,14,33,30,66,284
"Jordan Clarkson",2017,"LAL","SG",12500000,82,19,2397,477,1071,0.445,117,356,0.329,360,715,0.503,0.5,134,168,0.798,49,197,246,213,88,8,164,150,1205
"Julius Randle",2017,"LAL","PF",3267120,74,73,2132,377,773,0.488,17,63,0.27,360,710,0.507,0.499,204,282,0.723,151,485,636,264,49,37,173,248,975
"Larry Nance Jr.",2017,"LAL","PF",1207680,63,7,1442,190,361,0.526,10,36,0.278,180,325,0.554,0.54,59,80,0.738,120,249,369,96,82,40,56,149,449
"Luol Deng",2017,"LAL","SF",1.8e+07,56,49,1486,164,424,0.387,51,165,0.309,113,259,0.436,0.447,46,63,0.73,63,232,295,74,48,20,43,61,425
"Metta World Peace",2017,"LAL","SF",1551659,25,2,160,19,68,0.279,9,38,0.237,10,30,0.333,0.346,10,16,0.625,5,15,20,11,9,2,7,18,57
"Nick Young",2017,"LAL","SG",5443918,60,60,1556,272,633,0.43,170,421,0.404,102,212,0.481,0.564,77,90,0.856,25,112,137,58,37,14,36,137,791
"Tarik Black",2017,"LAL","C",6191000,67,16,1091,150,294,0.51,1,2,0.5,149,292,0.51,0.512,82,109,0.752,143,199,342,39,30,44,58,173,383
"Thomas Robinson",2017,"LAL","PF",1050961,48,1,560,105,196,0.536,0,1,0,105,195,0.538,0.536,31,66,0.47,84,139,223,31,26,9,46,76,241
"Timofey Mozgov",2017,"LAL","C",1.6e+07,54,52,1104,169,328,0.515,0,1,0,169,327,0.517,0.515,63,78,0.808,104,160,264,43,16,31,72,133,401
"Tyler Ennis",2017,"LAL","PG",1733880,22,2,392,65,144,0.451,21,54,0.389,44,90,0.489,0.524,19,22,0.864,6,21,27,52,20,2,21,29,170
"Alan Williams",2017,"PHO","C",874636,47,0,708,138,267,0.517,0,1,0,138,266,0.519,0.517,70,112,0.625,94,198,292,23,27,32,37,125,346
"Alex Len",2017,"PHO","C",4823621,77,34,1560,230,463,0.497,3,12,0.25,227,451,0.503,0.5,150,208,0.721,156,354,510,44,37,98,102,242,613
"Brandon Knight",2017,"PHO","SG",12606250,54,5,1140,209,525,0.398,45,139,0.324,164,386,0.425,0.441,132,154,0.857,25,93,118,130,27,5,89,87,595
"Derrick Jones",2017,"PHO","SF",543471,32,8,545,68,121,0.562,3,11,0.273,65,110,0.591,0.574,29,41,0.707,39,40,79,12,14,13,13,63,168
"Devin Booker",2017,"PHO","SG",2223600,78,78,2730,606,1431,0.423,147,405,0.363,459,1026,0.447,0.475,367,441,0.832,46,203,249,268,72,21,241,242,1726
"Dragan Bender",2017,"PHO","PF",4276320,43,0,574,57,161,0.354,28,101,0.277,29,60,0.483,0.441,4,11,0.364,23,80,103,23,10,22,32,74,146
"Elijah Millsap",2017,"PHO","SG",23069,2,0,23,1,7,0.143,0,2,0,1,5,0.2,0.143,1,2,0.5,3,3,6,1,0,0,2,2,3
"Eric Bledsoe",2017,"PHO","PG",1.4e+07,66,66,2176,449,1034,0.434,104,310,0.335,345,724,0.477,0.485,388,458,0.847,52,268,320,418,92,31,223,164,1390
"Jared Dudley",2017,"PHO","PF",10470000,64,7,1362,157,346,0.454,77,203,0.379,80,143,0.559,0.565,43,65,0.662,31,194,225,121,42,16,72,154,434
"Leandro Barbosa",2017,"PHO","SG",4e+06,67,0,963,172,392,0.439,35,98,0.357,137,294,0.466,0.483,40,45,0.889,15,89,104,81,31,8,48,82,419
"Marquese Chriss",2017,"PHO","PF",2941440,82,75,1743,284,632,0.449,72,224,0.321,212,408,0.52,0.506,113,181,0.624,96,252,348,60,67,70,108,263,753
"Ronnie Price",2017,"PHO","PG",282595,14,0,134,4,24,0.167,3,17,0.176,1,7,0.143,0.229,3,4,0.75,3,8,11,18,11,1,3,14,14
"T.J. Warren",2017,"PHO","SF",2128920,66,59,2048,403,814,0.495,26,98,0.265,377,716,0.527,0.511,119,154,0.773,125,214,339,75,76,39,57,175,951
"Tyler Ulis",2017,"PHO","PG",918369,61,15,1123,184,437,0.421,21,79,0.266,163,358,0.455,0.445,55,71,0.775,20,75,95,226,48,5,77,73,444
