"player","season","team","position","salary","games","games_started","minutes","field_goals","field_goals_atts","field_goals_perc","points3","points3_atts","points3_perc","points2","points2_atts","points2_perc","effective_field_goal_perc","points1","points1_atts","points1_perc","off_rebounds","def_rebounds","total_rebounds","assists","steals","blocks","turnovers","fouls","points"
"Semaj Christon",2017,"OKC","PG",543471,64,1,973,77,223,0.345,12,63,0.19,65,160,0.406,0.372,17,31,0.548,19,69,88,130,28,6,43,79,183
"Steven Adams",2017,"OKC","C",3140517,80,80,2389,374,655,0.571,0,1,0,374,654,0.572,0.571,157,257,0.611,282,333,615,86,88,78,146,195,905
"Taj Gibson",2017,"OKC","PF",8950000,23,16,487,89,179,0.497,1,1,1,88,178,0.494,0.5,28,39,0.718,38,65,103,13,14,15,28,40,207
"Victor Oladipo",2017,"OKC","SG",6552960,67,67,2222,412,932,0.442,127,352,0.361,285,580,0.491,0.51,116,154,0.753,39,252,291,176,78,21,119,155,1067
"Andrew Harrison",2017,"MEM","PG",945000,72,18,1474,117,360,0.325,43,156,0.276,74,204,0.363,0.385,148,194,0.763,23,113,136,198,54,20,85,194,425
"Brandan Wright",2017,"MEM","PF",5700000,28,5,447,83,135,0.615,0,1,0,83,134,0.619,0.615,23,35,0.657,31,47,78,15,11,20,10,42,189
"Chandler Parsons",2017,"MEM","SF",22116750,34,34,675,75,222,0.338,25,93,0.269,50,129,0.388,0.394,35,43,0.814,6,78,84,55,20,5,24,52,210
"James Ennis",2017,"MEM","SF",2898000,64,28,1501,146,321,0.455,51,137,0.372,95,184,0.516,0.534,86,110,0.782,69,190,259,64,46,19,59,165,429
"JaMychal Green",2017,"MEM","PF",980431,77,75,2101,250,500,0.5,55,145,0.379,195,355,0.549,0.555,134,167,0.802,167,377,544,84,46,34,94,248,689
"Jarell Martin",2017,"MEM","PF",1286160,42,3,558,58,151,0.384,9,25,0.36,49,126,0.389,0.414,40,50,0.8,42,120,162,8,17,9,28,91,165
"Marc Gasol",2017,"MEM","C",21165675,74,74,2531,532,1160,0.459,104,268,0.388,428,892,0.48,0.503,278,332,0.837,60,402,462,338,67,99,166,171,1446
"Mike Conley",2017,"MEM","PG",26540100,69,68,2292,464,1009,0.46,171,419,0.408,293,590,0.497,0.545,316,368,0.859,31,211,242,433,92,19,156,126,1415
"Tony Allen",2017,"MEM","SG",5505618,71,66,1914,274,595,0.461,15,54,0.278,259,541,0.479,0.473,80,130,0.615,166,225,391,98,115,29,100,178,643
"Troy Daniels",2017,"MEM","SG",3332940,67,3,1183,185,495,0.374,138,355,0.389,47,140,0.336,0.513,43,54,0.796,21,79,100,46,21,4,45,90,551
"Vince Carter",2017,"MEM","SF",4264057,73,15,1799,193,490,0.394,112,296,0.378,81,194,0.418,0.508,88,115,0.765,36,191,227,133,60,36,50,163,586
"Wade Baldwin",2017,"MEM","PG",1793760,33,1,405,36,115,0.313,3,22,0.136,33,93,0.355,0.326,31,37,0.838,11,35,46,61,18,7,40,40,106
"Wayne Selden",2017,"MEM","SG",83119,11,2,189,20,50,0.4,3,21,0.143,17,29,0.586,0.43,12,18,0.667,1,10,11,12,4,1,9,12,55
"Zach Randolph",2017,"MEM","PF",10361445,73,5,1786,433,964,0.449,21,94,0.223,412,870,0.474,0.46,141,193,0.731,182,416,598,122,38,10,99,136,1028
"Al-Farouq Aminu",2017,"POR","SF",7680965,61,25,1773,183,466,0.393,70,212,0.33,113,254,0.445,0.468,96,136,0.706,77,374,451,99,60,44,94,102,532
"Allen Crabbe",2017,"POR","SG",18500000,79,7,2254,303,647,0.468,134,302,0.444,169,345,0.49,0.572,105,124,0.847,19,206,225,93,54,20,62,171,845
"C.J. McCollum",2017,"POR","SG",3219579,80,80,2796,692,1441,0.48,185,440,0.42,507,1001,0.506,0.544,268,294,0.912,60,231,291,285,72,42,172,202,1837
"Damian Lillard",2017,"POR","PG",24328425,75,75,2694,661,1488,0.444,214,578,0.37,447,910,0.491,0.516,488,545,0.895,46,322,368,439,68,20,197,152,2024
"Evan Turner",2017,"POR","SF",16393443,65,12,1658,235,552,0.426,31,118,0.263,204,434,0.47,0.454,85,103,0.825,36,211,247,205,53,24,100,121,586
"Jake Layman",2017,"POR","SF",6e+05,35,1,249,26,89,0.292,13,51,0.255,13,38,0.342,0.365,13,17,0.765,6,18,24,11,9,3,11,22,78
"Jusuf Nurkic",2017,"POR","C",1921320,20,19,584,120,236,0.508,0,1,0,120,235,0.511,0.508,64,97,0.66,65,142,207,63,25,38,62,73,304
"Maurice Harkless",2017,"POR","SF",8988764,77,69,2223,314,624,0.503,68,194,0.351,246,430,0.572,0.558,77,124,0.621,125,216,341,89,85,70,85,214,773
"Meyers Leonard",2017,"POR","PF",9213484,74,12,1222,146,378,0.386,74,213,0.347,72,165,0.436,0.484,35,40,0.875,27,209,236,71,13,28,35,172,401
"Noah Vonleh",2017,"POR","PF",2751360,74,41,1265,130,270,0.481,7,20,0.35,123,250,0.492,0.494,60,94,0.638,131,256,387,31,30,27,64,154,327
"Pat Connaughton",2017,"POR","SG",874636,39,1,316,37,72,0.514,17,33,0.515,20,39,0.513,0.632,7,9,0.778,10,42,52,28,6,2,17,23,98
"Shabazz Napier",2017,"POR","PG",1350120,53,2,512,73,183,0.399,34,92,0.37,39,91,0.429,0.492,38,49,0.776,8,53,61,67,32,2,41,38,218
"Tim Quarterman",2017,"POR","SG",543471,16,0,80,13,29,0.448,5,13,0.385,8,16,0.5,0.534,0,3,0,4,10,14,11,2,3,11,6,31
"Danilo Gallinari",2017,"DEN","SF",15050000,63,63,2134,335,750,0.447,126,325,0.388,209,425,0.492,0.531,349,387,0.902,39,287,326,136,41,15,81,93,1145
